frame,ВСП,Дата,Время,Кол-во людей в системе,Кол-во обслуживающихся клиентов,Кол-во ожидающих,Кол-во вошедших клиентов
0,Train_station_crowds,2018-03-07,00:00:00,11,4,7,0
1,Train_station_crowds,2018-03-07,00:00:00,11,4,7,0
2,Train_station_crowds,2018-03-07,00:00:00,10,4,6,0
3,Train_station_crowds,2018-03-07,00:00:00,11,4,7,1
4,Train_station_crowds,2018-03-07,00:00:00,9,4,5,0
